subid,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60
1,0.5636363636363636,0.2,0.21818181818181817,0.01818181818181818,0.0,0.7090909090909091,0.2545454545454545,0.03636363636363636,0.0,0.0,0.509090909090909,0.45454545454545453,0.03636363636363636,0.0,0.0,0.7818181818181819,0.07272727272727272,0.10909090909090909,0.03636363636363636,0.0,0.7818181818181819,0.09090909090909091,0.10909090909090909,0.01818181818181818,0.0,0.41818181818181815,0.23636363636363636,0.09090909090909091,0.2,0.05454545454545454,0.5636363636363636,0.2909090909090909,0.09090909090909091,0.05454545454545454,0.0,0.7818181818181819,0.21818181818181817,0.0,0.0,0.0,0.7454545454545455,0.16363636363636364,0.07272727272727272,0.01818181818181818,0.0,0.18181818181818182,0.45454545454545453,0.3090909090909091,0.05454545454545454,0.0,0.8727272727272727,0.07272727272727272,0.05454545454545454,0.0,0.0,0.2727272727272727,0.38181818181818183,0.21818181818181817,0.12727272727272726,0.0
2,0.9185393258426966,0.06601123595505617,0.01544943820224719,0.0,0.0,0.9466292134831461,0.042134831460674156,0.009831460674157303,0.0014044943820224719,0.0,0.9311797752808989,0.05758426966292135,0.009831460674157303,0.0014044943820224719,0.0,0.9536516853932584,0.03089887640449438,0.012640449438202247,0.0028089887640449437,0.0,0.9634831460674157,0.032303370786516857,0.004213483146067416,0.0,0.0,0.8918539325842697,0.05056179775280899,0.037921348314606744,0.01544943820224719,0.004213483146067416,0.9648876404494382,0.023876404494382022,0.009831460674157303,0.0014044943820224719,0.0,0.9101123595505618,0.06320224719101124,0.021067415730337078,0.0056179775280898875,0.0,0.949438202247191,0.032303370786516857,0.012640449438202247,0.004213483146067416,0.0014044943820224719,0.8146067415730337,0.10112359550561797,0.05898876404494382,0.025280898876404494,0.0,0.9466292134831461,0.016853932584269662,0.026685393258426966,0.007022471910112359,0.0028089887640449437,0.8637640449438202,0.08567415730337079,0.028089887640449437,0.021067415730337078,0.0014044943820224719
3,0.999484004127967,0.0005159958720330237,0.0,0.0,0.0,0.9999140006879945,8.599931200550395e-05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9992260061919505,0.0006019951840385277,0.0001719986240110079,0.0,0.0,0.9993120055039559,0.0006879944960440316,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9974200206398349,0.002235982112143103,0.0003439972480220158,0.0,0.0,0.999828001375989,0.0001719986240110079,0.0,0.0,0.0,0.9987100103199175,0.0012899896800825593,0.0,0.0,0.0,0.998624011007912,0.0013759889920880633,0.0,0.0,0.0,0.9997420020639834,8.599931200550395e-05,0.0001719986240110079,0.0,0.0,0.9997420020639834,0.00025799793601651185,0.0,0.0,0.0
4,0.9989987985582699,0.001001201441730076,0.0,0.0,0.0,0.999799759711654,0.00020024028834601522,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9985983179815779,0.0014016820184221065,0.0,0.0,0.0,0.9973968762515018,0.0024028834601521826,0.00020024028834601522,0.0,0.0,0.9995995194233079,0.00040048057669203043,0.0,0.0,0.0,0.9957949539447337,0.0030036043251902285,0.001001201441730076,0.00020024028834601522,0.0,1.0,0.0,0.0,0.0,0.0,0.9985983179815779,0.0014016820184221065,0.0,0.0,0.0,0.9971966359631558,0.002803364036844213,0.0,0.0,0.0,0.9995995194233079,0.00020024028834601522,0.00020024028834601522,0.0,0.0,0.999199038846616,0.0008009611533840609,0.0,0.0,0.0
5,0.5921052631578947,0.19736842105263158,0.18421052631578946,0.02631578947368421,0.0,0.6052631578947368,0.25,0.13157894736842105,0.013157894736842105,0.0,0.47368421052631576,0.3684210526315789,0.13157894736842105,0.02631578947368421,0.0,0.7236842105263158,0.11842105263157894,0.09210526315789473,0.05263157894736842,0.013157894736842105,0.7236842105263158,0.21052631578947367,0.039473684210526314,0.013157894736842105,0.013157894736842105,0.5,0.19736842105263158,0.14473684210526316,0.11842105263157894,0.039473684210526314,0.7236842105263158,0.17105263157894737,0.09210526315789473,0.013157894736842105,0.0,0.8552631578947368,0.14473684210526316,0.0,0.0,0.0,0.7368421052631579,0.18421052631578946,0.06578947368421052,0.013157894736842105,0.0,0.21052631578947367,0.3026315789473684,0.3815789473684211,0.10526315789473684,0.0,0.7763157894736842,0.09210526315789473,0.07894736842105263,0.039473684210526314,0.013157894736842105,0.42105263157894735,0.27631578947368424,0.21052631578947367,0.09210526315789473,0.0
6,0.9994069681245367,0.00044477390659747963,0.00014825796886582654,0.0,0.0,0.9997034840622684,0.0002965159377316531,0.0,0.0,0.0,0.9995552260934025,0.00044477390659747963,0.0,0.0,0.0,0.9988139362490734,0.0011860637509266123,0.0,0.0,0.0,0.9997034840622684,0.0002965159377316531,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9964418087472202,0.002520385470719051,0.0010378057820607859,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.999110452186805,0.0007412898443291327,0.00014825796886582654,0.0,0.0,0.9983691623424759,0.0016308376575240918,0.0,0.0,0.0,0.9998517420311341,0.0,0.0,0.00014825796886582654,0.0,0.9989621942179392,0.0010378057820607859,0.0,0.0,0.0
7,0.9953917050691244,0.004608294930875576,0.0,0.0,0.0,0.9990783410138249,0.0009216589861751152,0.0,0.0,0.0,0.9978494623655914,0.002150537634408602,0.0,0.0,0.0,0.9978494623655914,0.0018433179723502304,0.00030721966205837174,0.0,0.0,0.9996927803379416,0.00030721966205837174,0.0,0.0,0.0,0.997542242703533,0.002150537634408602,0.00030721966205837174,0.0,0.0,0.9950844854070661,0.004301075268817204,0.0,0.0006144393241167435,0.0,0.9984639016897081,0.0015360983102918587,0.0,0.0,0.0,0.9987711213517665,0.0009216589861751152,0.00030721966205837174,0.0,0.0,0.9956989247311828,0.003686635944700461,0.0006144393241167435,0.0,0.0,0.9984639016897081,0.0006144393241167435,0.0009216589861751152,0.0,0.0,0.997542242703533,0.002457757296466974,0.0,0.0,0.0
8,0.9955218068535826,0.0036993769470404984,0.000778816199376947,0.0,0.0,0.9972741433021807,0.002141744548286604,0.0003894080996884735,0.00019470404984423675,0.0,0.9978582554517134,0.002141744548286604,0.0,0.0,0.0,0.9939641744548287,0.0050623052959501555,0.0009735202492211838,0.0,0.0,0.9980529595015576,0.0019470404984423676,0.0,0.0,0.0,0.9937694704049844,0.0050623052959501555,0.000778816199376947,0.0003894080996884735,0.0,0.995132398753894,0.0040887850467289715,0.000778816199376947,0.0,0.0,0.9970794392523364,0.0027258566978193145,0.00019470404984423675,0.0,0.0,0.9896806853582555,0.009345794392523364,0.0009735202492211838,0.0,0.0,0.9879283489096573,0.010514018691588784,0.001557632398753894,0.0,0.0,0.9943535825545171,0.003894080996884735,0.0013629283489096573,0.0003894080996884735,0.0,0.989291277258567,0.009151090342679127,0.001557632398753894,0.0,0.0
9,0.9831479609032693,0.01247050893158072,0.004381530165149983,0.0,0.0,0.980788675429727,0.01482979440512302,0.002696326255476913,0.0013481631277384564,0.0003370407819346141,0.9777553083923155,0.020222446916076844,0.0016852039096730705,0.0003370407819346141,0.0,0.974721941354904,0.021570610043815303,0.0023592854735422987,0.0010111223458038423,0.0003370407819346141,0.9915739804516347,0.008088978766430738,0.0003370407819346141,0.0,0.0,0.9507920458375464,0.03640040444893832,0.010111223458038422,0.002696326255476913,0.0,0.993933265925177,0.005729693292888439,0.0003370407819346141,0.0,0.0,0.9855072463768116,0.013481631277384564,0.0006740815638692282,0.0003370407819346141,0.0,0.9683181664981463,0.0262891809908999,0.0047185709470845974,0.0006740815638692282,0.0,0.9480957195820694,0.04280417930569599,0.008763060330299966,0.0003370407819346141,0.0,0.9777553083923155,0.015166835187057633,0.005055611729019211,0.0010111223458038423,0.0010111223458038423,0.9646107178968655,0.02494101786316144,0.008763060330299966,0.0016852039096730705,0.0
10,0.9998515219005196,0.00014847809948032666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9991091314031181,0.0008908685968819599,0.0,0.0,0.0,0.9989606533036377,0.0008908685968819599,0.00014847809948032666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.998218262806236,0.0016332590942835933,0.00014847809948032666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9997030438010394,0.0002969561989606533,0.0,0.0,0.0,0.999554565701559,0.00044543429844097997,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.999554565701559,0.00044543429844097997,0.0,0.0,0.0
