subid,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82
1,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2,0.5185185185185185,0.2222222222222222,0.1111111111111111,0.14814814814814814,0.0,0.0,0.5925925925925926,0.14814814814814814,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.037037037037037035,0.0,0.0,0.5185185185185185,0.07407407407407407,0.1111111111111111,0.1111111111111111,0.07407407407407407,0.07407407407407407,0.037037037037037035,0.0,0.6296296296296297,0.07407407407407407,0.1111111111111111,0.14814814814814814,0.037037037037037035,0.0,0.0,0.0,0.6296296296296297,0.14814814814814814,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.5185185185185185,0.18518518518518517,0.2222222222222222,0.07407407407407407,0.0,0.5925925925925926,0.25925925925925924,0.14814814814814814,0.0,0.0,0.5185185185185185,0.4444444444444444,0.037037037037037035,0.5185185185185185,0.1111111111111111,0.18518518518518517,0.1111111111111111,0.0,0.037037037037037035,0.037037037037037035,0.0,0.5185185185185185,0.18518518518518517,0.0,0.2222222222222222,0.07407407407407407,0.0,0.0,0.6666666666666666,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.0,0.1111111111111111,0.037037037037037035,0.5555555555555556,0.1111111111111111,0.037037037037037035,0.1111111111111111,0.14814814814814814,0.0,0.037037037037037035,0.0
3,0.9872340425531915,0.01276595744680851,0.0,0.0,0.0,0.0,0.997872340425532,0.002127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9914893617021276,0.002127659574468085,0.00425531914893617,0.002127659574468085,0.0,0.0,0.0,0.0,0.9829787234042553,0.01702127659574468,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9468085106382979,0.05319148936170213,0.0,0.0,0.0,0.9957446808510638,0.00425531914893617,0.0,0.9680851063829787,0.031914893617021274,0.0,0.0,0.0,0.0,0.0,0.0,0.9787234042553191,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.9936170212765958,0.002127659574468085,0.00425531914893617,0.0,0.0,0.0,0.0,0.0,0.9936170212765958,0.006382978723404255,0.0,0.0,0.0,0.0,0.0,0.0
4,0.9796954314720813,0.02030456852791878,0.0,0.0,0.0,0.0,0.9949238578680203,0.005076142131979695,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9695431472081218,0.025380710659898477,0.005076142131979695,0.0,0.0,0.0,0.0,0.0,0.9390862944162437,0.06091370558375635,0.0,0.0,0.0,0.0,0.0,0.0,0.9898477157360406,0.01015228426395939,0.0,0.0,0.0,0.934010152284264,0.05583756345177665,0.005076142131979695,0.005076142131979695,0.0,1.0,0.0,0.0,0.9746192893401016,0.025380710659898477,0.0,0.0,0.0,0.0,0.0,0.0,0.9593908629441624,0.04060913705583756,0.0,0.0,0.0,0.0,0.0,0.9898477157360406,0.005076142131979695,0.005076142131979695,0.0,0.0,0.0,0.0,0.0,0.9796954314720813,0.02030456852791878,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
6,0.9850746268656716,0.014925373134328358,0.0,0.0,0.0,0.0,0.9925373134328358,0.007462686567164179,0.0,0.0,0.0,0.0,0.0,0.0,0.9888059701492538,0.011194029850746268,0.0,0.0,0.0,0.0,0.0,0.0,0.9888059701492538,0.007462686567164179,0.0,0.0037313432835820895,0.0,0.0,0.0,0.0,0.9925373134328358,0.007462686567164179,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9477611940298507,0.041044776119402986,0.011194029850746268,0.0,0.0,1.0,0.0,0.0,0.9813432835820896,0.014925373134328358,0.0037313432835820895,0.0,0.0,0.0,0.0,0.0,0.9776119402985075,0.022388059701492536,0.0,0.0,0.0,0.0,0.0,0.996268656716418,0.0,0.0037313432835820895,0.0,0.0,0.0,0.0,0.0,0.9813432835820896,0.018656716417910446,0.0,0.0,0.0,0.0,0.0,0.0
7,0.9230769230769231,0.07692307692307693,0.0,0.0,0.0,0.0,0.9769230769230769,0.023076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.9615384615384616,0.023076923076923078,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,0.9615384615384616,0.023076923076923078,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,0.9923076923076923,0.007692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.9769230769230769,0.023076923076923078,0.0,0.0,0.0,0.9,0.09230769230769231,0.007692307692307693,0.0,0.0,0.9692307692307692,0.03076923076923077,0.0,0.9692307692307692,0.03076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.9461538461538461,0.05384615384615385,0.0,0.0,0.0,0.0,0.0,0.9769230769230769,0.007692307692307693,0.007692307692307693,0.007692307692307693,0.0,0.0,0.0,0.0,0.9538461538461539,0.046153846153846156,0.0,0.0,0.0,0.0,0.0,0.0
8,0.9138755980861244,0.07655502392344497,0.009569377990430622,0.0,0.0,0.0,0.9425837320574163,0.03349282296650718,0.014354066985645933,0.004784688995215311,0.004784688995215311,0.0,0.0,0.0,0.9665071770334929,0.019138755980861243,0.009569377990430622,0.004784688995215311,0.0,0.0,0.0,0.0,0.8803827751196173,0.06698564593301436,0.0430622009569378,0.009569377990430622,0.0,0.0,0.0,0.0,0.9521531100478469,0.04784688995215311,0.0,0.0,0.0,0.0,0.0,0.0,0.9043062200956937,0.0861244019138756,0.009569377990430622,0.0,0.0,0.9043062200956937,0.09090909090909091,0.004784688995215311,0.0,0.0,0.9569377990430622,0.0430622009569378,0.0,0.8325358851674641,0.1339712918660287,0.03349282296650718,0.0,0.0,0.0,0.0,0.0,0.8373205741626795,0.15789473684210525,0.004784688995215311,0.0,0.0,0.0,0.0,0.8995215311004785,0.04784688995215311,0.0430622009569378,0.009569377990430622,0.0,0.0,0.0,0.0,0.8564593301435407,0.11483253588516747,0.028708133971291867,0.0,0.0,0.0,0.0,0.0
9,0.8264462809917356,0.14049586776859505,0.024793388429752067,0.008264462809917356,0.0,0.0,0.7355371900826446,0.1487603305785124,0.0743801652892562,0.03305785123966942,0.0,0.008264462809917356,0.0,0.0,0.7520661157024794,0.14049586776859505,0.049586776859504134,0.03305785123966942,0.01652892561983471,0.008264462809917356,0.0,0.0,0.7272727272727273,0.10743801652892562,0.10743801652892562,0.04132231404958678,0.008264462809917356,0.008264462809917356,0.0,0.0,0.859504132231405,0.10743801652892562,0.024793388429752067,0.008264462809917356,0.0,0.0,0.0,0.0,0.5619834710743802,0.38016528925619836,0.05785123966942149,0.0,0.0,0.8760330578512396,0.12396694214876033,0.0,0.0,0.0,0.7603305785123967,0.2396694214876033,0.0,0.5371900826446281,0.30578512396694213,0.12396694214876033,0.01652892561983471,0.008264462809917356,0.008264462809917356,0.0,0.0,0.6033057851239669,0.3305785123966942,0.06611570247933884,0.0,0.0,0.0,0.0,0.6942148760330579,0.09917355371900827,0.14049586776859505,0.04132231404958678,0.008264462809917356,0.0,0.01652892561983471,0.0,0.6528925619834711,0.2644628099173554,0.05785123966942149,0.024793388429752067,0.0,0.0,0.0,0.0
10,0.9962264150943396,0.0037735849056603774,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9773584905660377,0.022641509433962263,0.0,0.0,0.0,0.0,0.0,0.0,0.9773584905660377,0.01509433962264151,0.007547169811320755,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9660377358490566,0.03018867924528302,0.0037735849056603774,0.0,0.0,1.0,0.0,0.0,0.9924528301886792,0.007547169811320755,0.0,0.0,0.0,0.0,0.0,0.0,0.9924528301886792,0.007547169811320755,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9886792452830189,0.011320754716981131,0.0,0.0,0.0,0.0,0.0,0.0
