gid,常住人口
1,24827.0000000
3,67832.0000000
16,53110.0000000
4,15731.0000000
6,14446.0000000
7,12526.0000000
15,14531.0000000
136,15417.0000000
20,31535.0000000
18,216216.000000
19,57768.0000000
23,25773.0000000
29,78887.0000000
30,314096.000000
31,23188.0000000
32,190978.000000
25,47326.0000000
26,62508.0000000
28,26531.0000000
138,189290.000000
39,25758.0000000
104,3368.00000000
107,17138.0000000
45,106482.000000
52,36937.0000000
53,31067.0000000
54,30039.0000000
55,1564.00000000
56,26989.0000000
46,14141.0000000
49,46960.0000000
47,55353.0000000
48,86882.0000000
62,70197.0000000
69,53920.0000000
70,3779.00000000
71,123918.000000
60,113975.000000
57,18545.0000000
59,150671.000000
77,9402.00000000
78,17839.0000000
79,49364.0000000
81,4474.00000000
108,20944.0000000
86,107811.000000
74,68916.0000000
88,35087.0000000
89,3290.00000000
90,52988.0000000
124,38888.0000000
113,131229.000000
93,42259.0000000
94,25254.0000000
95,29807.0000000
98,35693.0000000
99,35631.0000000
82,137279.000000
85,32234.0000000
127,82337.0000000
103,29532.0000000
105,63850.0000000
106,86627.0000000
128,37992.0000000
129,44529.0000000
146,66908.0000000
115,50592.0000000
119,181575.000000
141,97474.0000000
142,23878.0000000
143,230583.000000
145,26139.0000000
148,37703.0000000
150,6664.00000000
151,64228.0000000
111,59207.0000000
112,8909.00000000
125,21544.0000000
154,39919.0000000
155,179152.000000
165,827.000000000
162,161628.000000
66,109485.000000
83,115067.000000
114,2354.00000000
116,66500.0000000
117,60323.0000000
131,32765.0000000
132,9178.00000000
133,13251.0000000
100,32213.0000000
172,25069.0000000
174,79913.0000000
175,52560.0000000
176,5437.00000000
178,69562.0000000
120,16982.0000000
121,3585.00000000
122,99255.0000000
123,164992.000000
134,7664.00000000
135,13669.0000000
130,26228.0000000
42,13303.0000000
43,29148.0000000
64,24496.0000000
65,66087.0000000
84,107612.000000
101,36387.0000000
5,25425.0000000
8,94290.0000000
9,188996.000000
10,12064.0000000
11,27680.0000000
12,14336.0000000
13,22256.0000000
14,24592.0000000
137,45220.0000000
27,46285.0000000
24,67496.0000000
38,9961.00000000
40,46008.0000000
41,33669.0000000
44,36025.0000000
51,28674.0000000
63,46483.0000000
67,2314.00000000
153,77222.0000000
109,178628.000000
110,42985.0000000
126,61135.0000000
140,49793.0000000
139,76001.0000000
169,36969.0000000
170,146138.000000
171,26744.0000000
152,58891.0000000
160,4783.00000000
163,14724.0000000
164,156158.000000
34,71910.0000000
36,37768.0000000
73,40765.0000000
96,6438.00000000
156,32159.0000000
157,3366.00000000
158,55080.0000000
159,12620.0000000
2,83040.0000000
21,81312.0000000
182,13963.0000000
183,71724.0000000
184,15593.0000000
185,13690.0000000
168,6966.00000000
22,87346.0000000
33,29010.0000000
37,52596.0000000
68,22384.0000000
186,29059.0000000
17,44262.0000000
35,6187.00000000
50,27028.0000000
144,75128.0000000
58,29597.0000000
61,71776.0000000
147,76226.0000000
166,13139.0000000
72,16373.0000000
75,54932.0000000
76,518.000000000
80,38531.0000000
87,2461.00000000
102,19426.0000000
149,43894.0000000
92,56647.0000000
161,41648.0000000
91,64649.0000000
97,281.000000000
118,64704.0000000
167,61595.0000000
179,51945.0000000
173,20791.0000000
177,94340.0000000
181,16197.0000000
180,60909.0000000
