gid,密度
1,46938.0000000
3,583.000000000
16,916.000000000
4,315.000000000
6,213.000000000
7,385.000000000
15,649.000000000
136,222.000000000
20,187.000000000
18,28462.0000000
19,7464.00000000
23,414.000000000
29,20847.0000000
30,8272.00000000
31,404.000000000
32,1308.00000000
25,336.000000000
26,288.000000000
28,270.000000000
138,2843.00000000
39,536.000000000
104,110.000000000
107,5763.00000000
45,2421.00000000
52,728.000000000
53,364.000000000
54,166.000000000
55,76.0000000000
56,358.000000000
46,2227.00000000
49,25769.0000000
47,15524.0000000
48,21300.0000000
62,407.000000000
69,956.000000000
70,16.0000000000
71,8647.00000000
60,70595.0000000
57,25511.0000000
59,18430.0000000
77,112.000000000
78,373.000000000
79,296.000000000
81,501.000000000
108,4748.00000000
86,5040.00000000
74,3493.00000000
88,71875.0000000
89,314.000000000
90,533.000000000
124,5432.00000000
113,48535.0000000
93,2549.00000000
94,1241.00000000
95,468.000000000
98,81734.0000000
99,469.000000000
82,5073.00000000
85,48813.0000000
127,20042.0000000
103,451.000000000
105,544.000000000
106,16111.0000000
128,15801.0000000
129,30831.0000000
146,19776.0000000
115,63463.0000000
119,1905.00000000
141,3048.00000000
142,79222.0000000
143,12557.0000000
145,46807.0000000
148,2557.00000000
150,881.000000000
151,395.000000000
111,599.000000000
112,95.0000000000
125,369.000000000
154,35383.0000000
155,10534.0000000
165,3037.29000000
162,1529.00000000
66,21369.0000000
83,19019.0000000
114,7558.00000000
116,468.000000000
117,19777.0000000
131,175.000000000
132,1141.00000000
133,90.0000000000
100,21058.0000000
172,52340.0000000
174,1022.00000000
175,249.000000000
176,369.000000000
178,24103.0000000
120,194.000000000
121,90.0000000000
122,6784.00000000
123,5045.00000000
134,267.000000000
135,156.000000000
130,306.000000000
42,64.0000000000
43,158.000000000
64,993.000000000
65,1129.00000000
84,34981.0000000
101,73417.0000000
5,33055.0000000
8,1834.00000000
9,6384.00000000
10,179.000000000
11,566.000000000
12,169.000000000
13,471.000000000
14,314.000000000
137,294.000000000
27,61980.0000000
24,428.000000000
38,4886.00000000
40,438.000000000
41,240.000000000
44,56578.0000000
51,367.000000000
63,540.000000000
67,70.0000000000
153,45521.0000000
109,14521.0000000
110,709.000000000
126,19016.0000000
140,377.000000000
139,18231.0000000
169,268.000000000
170,2089.00000000
171,433.000000000
152,1072.00000000
160,288.000000000
163,455.000000000
164,898.000000000
34,25349.0000000
36,30225.0000000
73,34863.0000000
96,315.000000000
156,156.000000000
157,244.000000000
158,696.000000000
159,221.000000000
2,11690.0000000
21,20649.0000000
182,186.000000000
183,904.000000000
184,302.000000000
185,173.000000000
168,808.000000000
22,15586.0000000
33,90945.0000000
37,24647.0000000
68,8619.00000000
186,478.000000000
17,10569.0000000
35,471.000000000
50,5365.00000000
144,20671.0000000
58,9753.00000000
61,25834.0000000
147,7887.00000000
166,1878.00000000
72,824.000000000
75,4483.00000000
76,343.000000000
80,40788.0000000
87,344.000000000
102,58464.0000000
149,21441.0000000
92,29741.0000000
161,2360.00000000
91,20286.0000000
97,17.0000000000
118,34448.0000000
167,38983.0000000
179,11310.0000000
173,5419.00000000
177,23964.0000000
181,1962.00000000
180,35076.0000000
