subId,subPopNum,countyId
1,24827.0000000,11
3,67832.0000000,18
16,53110.0000000,15
4,15731.0000000,14
6,14446.0000000,12
7,12526.0000000,6
15,14531.0000000,15
136,15417.0000000,10
20,31535.0000000,3
18,216216.000000,1
19,57768.0000000,11
23,25773.0000000,3
29,78887.0000000,16
30,314096.000000,4
31,23188.0000000,18
32,190978.000000,14
25,47326.0000000,10
26,62508.0000000,14
28,26531.0000000,5
138,189290.000000,3
39,25758.0000000,14
104,3368.00000000,4
107,17138.0000000,7
45,106482.000000,7
52,36937.0000000,12
53,31067.0000000,18
54,30039.0000000,14
55,1564.00000000,14
56,26989.0000000,10
46,14141.0000000,16
49,46960.0000000,7
47,55353.0000000,12
48,86882.0000000,9
62,70197.0000000,14
69,53920.0000000,3
70,3779.00000000,3
71,123918.000000,1
60,113975.000000,8
57,18545.0000000,11
59,150671.000000,9
77,9402.00000000,12
78,17839.0000000,12
79,49364.0000000,18
81,4474.00000000,12
108,20944.0000000,7
86,107811.000000,4
74,68916.0000000,11
88,35087.0000000,11
89,3290.00000000,14
90,52988.0000000,14
124,38888.0000000,7
113,131229.000000,11
93,42259.0000000,12
94,25254.0000000,16
95,29807.0000000,17
98,35693.0000000,9
99,35631.0000000,14
82,137279.000000,11
85,32234.0000000,11
127,82337.0000000,16
103,29532.0000000,10
105,63850.0000000,18
106,86627.0000000,8
128,37992.0000000,16
129,44529.0000000,7
146,66908.0000000,7
115,50592.0000000,8
119,181575.000000,5
141,97474.0000000,3
142,23878.0000000,9
143,230583.000000,4
145,26139.0000000,11
148,37703.0000000,16
150,6664.00000000,1
151,64228.0000000,14
111,59207.0000000,14
112,8909.00000000,3
125,21544.0000000,10
154,39919.0000000,16
155,179152.000000,8
165,827.000000000,10
162,161628.000000,18
66,109485.000000,1
83,115067.000000,12
114,2354.00000000,9
116,66500.0000000,18
117,60323.0000000,1
131,32765.0000000,14
132,9178.00000000,10
133,13251.0000000,10
100,32213.0000000,9
172,25069.0000000,11
174,79913.0000000,4
175,52560.0000000,3
176,5437.00000000,3
178,69562.0000000,1
120,16982.0000000,3
121,3585.00000000,10
122,99255.0000000,4
123,164992.000000,4
134,7664.00000000,18
135,13669.0000000,3
130,26228.0000000,14
42,13303.0000000,3
43,29148.0000000,3
64,24496.0000000,7
65,66087.0000000,3
84,107612.000000,9
101,36387.0000000,9
5,25425.0000000,11
8,94290.0000000,6
9,188996.000000,6
10,12064.0000000,6
11,27680.0000000,6
12,14336.0000000,6
13,22256.0000000,6
14,24592.0000000,6
137,45220.0000000,14
27,46285.0000000,8
24,67496.0000000,18
38,9961.00000000,16
40,46008.0000000,10
41,33669.0000000,14
44,36025.0000000,8
51,28674.0000000,10
63,46483.0000000,18
67,2314.00000000,10
153,77222.0000000,16
109,178628.000000,1
110,42985.0000000,14
126,61135.0000000,1
140,49793.0000000,14
139,76001.0000000,7
169,36969.0000000,3
170,146138.000000,10
171,26744.0000000,12
152,58891.0000000,12
160,4783.00000000,18
163,14724.0000000,18
164,156158.000000,18
34,71910.0000000,11
36,37768.0000000,9
73,40765.0000000,9
96,6438.00000000,17
156,32159.0000000,14
157,3366.00000000,18
158,55080.0000000,18
159,12620.0000000,12
2,83040.0000000,9
21,81312.0000000,11
182,13963.0000000,2
183,71724.0000000,2
184,15593.0000000,2
185,13690.0000000,2
168,6966.00000000,10
22,87346.0000000,7
33,29010.0000000,9
37,52596.0000000,1
68,22384.0000000,4
186,29059.0000000,18
17,44262.0000000,1
35,6187.00000000,16
50,27028.0000000,4
144,75128.0000000,1
58,29597.0000000,8
61,71776.0000000,8
147,76226.0000000,1
166,13139.0000000,10
72,16373.0000000,12
75,54932.0000000,16
76,518.000000000,18
80,38531.0000000,11
87,2461.00000000,7
102,19426.0000000,9
149,43894.0000000,11
92,56647.0000000,8
161,41648.0000000,12
91,64649.0000000,8
97,281.000000000,16
118,64704.0000000,1
167,61595.0000000,11
179,51945.0000000,7
173,20791.0000000,16
177,94340.0000000,8
181,16197.0000000,11
180,60909.0000000,1
