gid,light,dem,ndvi,road_dis,poi_dis,poi
1,0,0,0.0,22493,62767.5891571183,0.0
2,0,0,0.0,22242,62359.73758971866,0.0
3,0,0,0.0,21999,61968.85439319877,0.0
4,0,0,0.0,21765,61581.79699934191,0.0
5,0,0,0.0,21540,61183.58104627562,0.0
6,0,0,0.0,21324,60802.93748733141,0.0
7,0,0,0.0,21118,60440.191568814065,0.0
8,0,0,0.0,20922,60095.65716245007,0.0
9,0,0,0.0,20737,59753.32182507434,0.0
10,0,0,0.0,20561,59413.93527403018,0.0
11,0,0,0.0,20397,59093.26290758469,0.0
12,0,0,0.0,20243,58791.59461268226,0.0
13,0,0,0.0,20101,58509.204400916344,0.0
14,0,0,0.0,19970,58246.34902116646,0.0
15,0,0,0.0,19734,58003.2666290488,0.0
16,0,0,0.0,19506,57780.17552921824,0.0
17,0,0,0.0,19289,57577.273006291,0.0
18,0,0,0.0,19082,57394.73425955903,0.0
19,0,0,0.0,18887,57230.04644750761,0.0
20,0,0,0.0,18702,57074.21005559735,0.0
21,0,0,0.0,18529,56939.1061209082,0.0
22,0,0,0.0,18369,56824.83516364143,0.0
23,0,0,0.0,18220,56717.80935329063,0.0
24,0,0,0.0,18085,56622.741871478174,0.0
25,0,0,0.0,17962,56548.68816386896,0.0
26,0,0,0.0,17852,56495.677117754254,0.0
27,0,0,0.0,17756,56463.71140960906,0.0
28,0,0,0.0,17673,56452.76762242285,0.0
29,0,0,0.0,17604,56462.79653659215,0.0
30,0,0,0.0,17549,56493.72358956825,0.0
31,0,0,0.0,17508,56543.67416016482,0.0
32,0,0,0.0,17482,56605.214158578805,0.0
33,0,0,0.0,17470,56687.305100147205,0.0
34,0,0,0.0,17472,56789.795296785014,0.0
35,0,0,0.0,17488,56912.51191662013,0.0
36,0,0,0.0,17518,57055.26210687448,0.0
37,0,0,0.0,17563,57217.83420088476,0.0
38,0,0,0.0,17622,57399.998993714304,0.0
39,0,0,0.0,17695,57580.22060919158,0.0
40,0,0,0.0,17781,57761.120498018005,0.0
41,0,0,0.0,17882,57931.671155439086,0.0
42,0,0,0.0,17995,58121.49970965891,0.0
43,0,0,0.0,18122,58330.366313179504,0.0
44,0,0,0.0,18261,58558.01755800084,0.0
45,0,0,0.0,18413,58804.18774525197,0.0
46,0,0,0.0,18577,59068.60015354277,0.0
47,0,0,0.0,18752,59350.96829515005,0.0
48,0,0,0.0,18939,59638.753011396446,0.0
49,0,0,0.0,19138,59931.69231484004,0.0
50,0,0,0.0,19347,60119.33599398253,0.0
51,0,0,0.0,19567,60273.67959840031,0.0
52,0,0,0.0,19797,60163.61254617519,0.0
53,0,0,0.0,20037,59919.623663568855,0.0
54,0,0,0.0,20286,59609.830629644566,0.0
55,0,0,0.0,20545,59079.641975872444,0.0
56,0,0,0.0,20812,58471.673796194256,0.0
57,0,0,0.0,21088,57834.1105682615,0.0
58,0,0,0.0,21280,57208.652123151536,0.0
59,0,0,0.0,20877,56565.050964417336,0.0
60,0,0,0.0,20478,55902.099027314245,0.0
61,0,0,0.0,20083,55225.759699617825,0.0
62,0,0,0.0,19693,54561.639384430724,0.0
63,0,0,0.0,19309,53909.68631850902,0.0
64,0,0,0.0,18929,53270.73910081784,0.0
65,0,0,0.0,18556,52645.43298279072,0.0
66,0,0,0.0,18188,52034.28430385832,0.0
67,0,0,0.0,17827,51437.82754645722,0.0
68,0,0,0.0,17473,50817.94365830507,0.0
69,0,0,0.0,17126,50174.95181155481,0.0
70,0,0,0.0,16787,49547.128208021124,0.0
71,0,0,0.0,16456,48935.07522355145,0.0
72,0,0,0.0,16126,48339.4114016387,0.0
73,0,0,0.0,15781,47760.770106653166,0.0
74,0,0,0.0,15446,47199.79785202419,0.0
75,0,0,0.0,15119,46657.15227619305,0.0
76,0,0,0.0,14802,46133.499742189655,0.0
77,0,0,0.0,14495,45629.51254121283,0.0
78,0,0,0.0,14200,45145.86568681469,0.0
79,0,0,0.0,13916,44671.63183492316,0.0
80,0,0,0.0,13644,44216.77641896236,0.0
81,0,0,0.0,13386,43748.60322185159,0.0
82,0,0,0.0,13141,43267.179121154666,0.0
83,0,0,0.0,12912,42806.858065833076,0.0
84,0,0,0.0,12697,42368.23105046749,0.0
85,0,0,0.0,12500,41951.87109467224,0.0
86,0,0,0.0,12319,41538.12789872928,0.0
87,0,0,0.0,12156,41094.49547572273,0.0
88,0,0,0.0,12012,40672.540267202116,0.0
89,0,0,0.0,11887,40272.75443254454,0.0
